学号,学院,教学班,姓名,手机号,楼群,楼号,楼层,宿舍号,性别,是否有车
104062019166,传播学院,2022级广播电视编导,瞿涛,15699707080,李苑,1,1,122,女,有
104032019053,传播学院,2029广播电视学 ,何娟,15245359047,李苑,1,1,123,女,有
104032019112,传播学院,2029广播电视学 ,蔡婷婷,15793361443,李苑,1,1,123,女,没有
104032019040,传播学院,2029广播电视学 ,张岩,14537262577,李苑,1,1,123,女,有
104032019102,传播学院,2029广播电视学 ,周波,18679772225,李苑,1,1,123,女,有
104102019150,传播学院,2022级播音与主持艺术,帅桂英,13892549449,李苑,1,1,124,女,没有
104102019063,传播学院,2022级播音与主持艺术,许鹏,14582867344,李苑,1,1,124,女,有
104102019044,传播学院,2022级播音与主持艺术,陈颖,15686839957,李苑,1,1,124,女,有
104102019011,传播学院,2022级播音与主持艺术,汪明,18061617304,李苑,1,1,124,女,没有
104072022027,传播学院,2029广播电视编导,侯瑜,15310921857,李苑,1,2,201,女,有
104072022151,传播学院,2029广播电视编导,叶晨,18848461643,李苑,1,2,201,女,有
104072022066,传播学院,2029广播电视编导,卢小红,13729775385,李苑,1,2,201,女,没有
104072022029,传播学院,2029广播电视编导,钱雪,18638489566,李苑,1,2,201,女,没有
104032022140,传播学院,21广播电视学,任强,18517741721,李苑,1,2,202,女,有
104032022165,传播学院,21广播电视学,刘春梅,13075634022,李苑,1,2,202,女,没有
104032022173,传播学院,21广播电视学,康淑英,18971161338,李苑,1,2,202,女,有
104032022161,传播学院,21广播电视学,刘帆,18113651140,李苑,1,2,202,女,有
104022022038,传播学院,21广告学(闽台),兰涛,18010517015,李苑,1,2,203,女,有
104022022058,传播学院,21广告学(闽台),刘娜,15695531376,李苑,1,2,203,女,没有
104022022001,传播学院,21广告学(闽台),胡秀荣,18043281423,李苑,1,2,203,女,没有
104022022112,传播学院,21广告学(闽台),张军,14738710880,李苑,1,2,203,女,没有
104002022004,传播学院,21播音与主持艺术,黄玉,14526692062,李苑,1,2,204,女,有
104002022148,传播学院,21播音与主持艺术,曹琳,15050954690,李苑,1,2,204,女,有
104002022155,传播学院,21播音与主持艺术,王琳,18942422045,李苑,1,2,204,女,有
104002022174,传播学院,21播音与主持艺术,徐建平,15182027691,李苑,1,2,204,女,有
104052022106,传播学院,21广播电视编导,张娟,13208054319,李苑,1,2,205,女,有
104052022114,传播学院,21广播电视编导,洪玉梅,15960573290,李苑,1,2,205,女,有
104052022032,传播学院,21广播电视编导,孙秀荣,13657273678,李苑,1,2,205,女,有
104052022112,传播学院,21广播电视编导,陈秀英,18767462870,李苑,1,2,205,女,没有
104072022102,传播学院,2029广播电视编导,梁桂兰,13441109679,李苑,1,2,206,女,有
104072022096,传播学院,2029广播电视编导,李涛,15881116445,李苑,1,2,206,女,有
104072022082,传播学院,2029广播电视编导,张明,14757128938,李苑,1,2,206,女,有
104072022025,传播学院,2029广播电视编导,许峰,13793758484,李苑,1,2,206,女,有
104052022167,传播学院,21广播电视学,雷洋,13995541361,李苑,1,2,207,女,没有
104052022197,传播学院,21广播电视学,王斌,13338300204,李苑,1,2,207,女,有
104052022096,传播学院,21广播电视学,李红霞,18161213400,李苑,1,2,207,女,没有
104052022019,传播学院,21广播电视学,张秀珍,18514831168,李苑,1,2,207,女,有
104072022087,传播学院,2029广播电视编导,杨金凤,15637254970,李苑,1,2,208,女,没有
104072022160,传播学院,2029广播电视编导,王琳,13204982622,李苑,1,2,208,女,有
104072022141,传播学院,2029广播电视编导,周明,18913150955,李苑,1,2,208,女,没有
104072022068,传播学院,2029广播电视编导,胡帅,15702794322,李苑,1,2,208,女,没有
104092022102,传播学院,21广播电视编导,徐华,18836898437,李苑,1,2,209,女,有
104092022029,传播学院,21广播电视编导,吕雪梅,18653507858,李苑,1,2,209,女,有
104092022091,传播学院,21广播电视编导,李淑华,14588714001,李苑,1,2,209,女,有
104092022039,传播学院,21广播电视编导,王玉,13639331178,李苑,1,2,209,女,没有
104092022033,传播学院,21广告学,张亮,14532060176,李苑,1,2,210,女,没有
104092022135,传播学院,21广告学,连华,18928651408,李苑,1,2,210,女,有
104092022145,传播学院,21广告学,马亮,13437094067,李苑,1,2,210,女,有
104092022197,传播学院,21广告学,彭倩,13083279802,李苑,1,2,210,女,有
104032022104,传播学院,21广播电视编导,王秀华,13877587980,李苑,1,2,211,女,有
104032022168,传播学院,21广播电视编导,刘兰英,18524148751,李苑,1,2,211,女,有
104032022097,传播学院,21广播电视编导,郭成,13387600451,李苑,1,2,211,女,没有
104032022061,传播学院,21广播电视编导,盛文,18982354519,李苑,1,2,211,女,没有
104072022080,传播学院,21广告学(闽台),王健,13328302497,李苑,1,2,212,女,没有
104072022150,传播学院,21广告学(闽台),董辉,15675277365,李苑,1,2,212,女,没有
104072022130,传播学院,21广告学(闽台),白伟,15114617608,李苑,1,2,212,女,没有
104072022044,传播学院,21广告学(闽台),高雪,13691785903,李苑,1,2,212,女,没有
104022022077,传播学院,2029广播电视学 ,马超,15772873563,李苑,1,2,213,女,没有
104022022193,传播学院,2029广播电视学 ,樊婷,15896051713,李苑,1,2,213,女,没有
104022022064,传播学院,2029广播电视学 ,陈娟,13827259108,李苑,1,2,213,女,没有
104022022006,传播学院,2029广播电视学 ,沈娟,15752970881,李苑,1,2,213,女,有
104072022194,传播学院,2029广播电视编导（闽台）,张红霞,18121380039,李苑,1,2,214,女,有
104072022111,传播学院,2029广播电视编导（闽台）,崔洋,13243064245,李苑,1,2,214,女,有
104072022120,传播学院,2029广播电视编导（闽台）,张超,13716274510,李苑,1,2,214,女,没有
104072022063,传播学院,2029广播电视编导（闽台）,苏倩,13048035711,李苑,1,2,214,女,有
104072022074,传播学院,21广告学(闽台),张婷婷,13945569973,李苑,1,2,215,女,有
104072022073,传播学院,21广告学(闽台),萧秀英,13006108879,李苑,1,2,215,女,有
104072022011,传播学院,21广告学(闽台),张桂英,13474816667,李苑,1,2,215,女,有
104072022136,传播学院,21广告学(闽台),胡慧,18590443120,李苑,1,2,215,女,没有
104022022133,传播学院,2029广播电视编导（闽台）,王桂英,15909776535,李苑,1,2,216,女,有
104022022056,传播学院,2029广播电视编导（闽台）,王林,15683971221,李苑,1,2,216,女,有
104022022138,传播学院,2029广播电视编导（闽台）,蒋柳,15281211627,李苑,1,2,216,女,没有
104022022156,传播学院,2029广播电视编导（闽台）,张艳,14795125344,李苑,1,2,216,女,没有
104092022127,传播学院,2029广播电视编导,徐鑫,15686245407,李苑,1,2,217,女,有
104092022066,传播学院,2029广播电视编导,农丹丹,15354222043,李苑,1,2,217,女,有
104092022185,传播学院,2029广播电视编导,陈瑞,18230580433,李苑,1,2,217,女,没有
104092022186,传播学院,2029广播电视编导,田桂芳,18158697990,李苑,1,2,217,女,没有
104052022052,传播学院,21广告学(闽台),刘玉珍,13087487251,李苑,1,2,218,女,没有
104052022099,传播学院,21广告学(闽台),饶洁,15837650596,李苑,1,2,218,女,没有
104052022195,传播学院,21广告学(闽台),杨杰,15522154455,李苑,1,2,218,女,没有
104052022004,传播学院,21广告学(闽台),王慧,15703250940,李苑,1,2,218,女,没有
104072022031,传播学院,21播音与主持艺术,路帅,13853221973,李苑,1,2,219,女,没有
104072022085,传播学院,21播音与主持艺术,朱波,18925745294,李苑,1,2,219,女,有
104072022105,传播学院,21播音与主持艺术,李英,14527796752,李苑,1,2,219,女,有
104072022149,传播学院,21播音与主持艺术,王鹏,13395727628,李苑,1,2,219,女,没有
104102022187,传播学院,2022级新闻传播学类2班,邢瑜,13827816527,李苑,1,2,220,女,有
104102022045,传播学院,2022级新闻传播学类2班,王帅,13882120944,李苑,1,2,220,女,有
104102022174,传播学院,2022级新闻传播学类2班,朱荣,14775207224,李苑,1,2,220,女,有
104102022119,传播学院,2022级新闻传播学类2班,尚坤,18734636782,李苑,1,2,220,女,没有
104042022177,传播学院,2022级播音与主持艺术,周燕,13462505171,李苑,1,2,221,女,有
104042022048,传播学院,2022级播音与主持艺术,李玉,13407426179,李苑,1,2,221,女,没有
104042022067,传播学院,2022级播音与主持艺术,陈玲,18256038248,李苑,1,2,221,女,没有
104042022035,传播学院,2022级播音与主持艺术,赵桂珍,18135691868,李苑,1,2,221,女,有
104042022116,传播学院,21广播电视编导,陈华,14762434604,李苑,1,2,222,女,有
104042022174,传播学院,21广播电视编导,孔龙,18249816945,李苑,1,2,222,女,没有
104042022014,传播学院,21广播电视编导,杨建平,18105021147,李苑,1,2,222,女,没有
104042022031,传播学院,21广播电视编导,王桂芳,18097072480,李苑,1,2,222,女,有
104012022130,传播学院,21广播电视学,王海燕,14798106733,李苑,1,2,223,女,没有
104012022173,传播学院,21广播电视学,王刚,13218537928,李苑,1,2,223,女,没有
104012022033,传播学院,21广播电视学,李强,18718105794,李苑,1,2,223,女,有
104012022148,传播学院,21广播电视学,郭琳,15135617742,李苑,1,2,223,女,没有
104032022193,传播学院,2022级新闻传播学类2班,龙磊,14578664684,李苑,1,2,224,女,有
104032022192,传播学院,2022级新闻传播学类2班,王桂花,15829536250,李苑,1,2,224,女,有
104032022113,传播学院,2022级新闻传播学类2班,张博,18000556411,李苑,1,2,224,女,有
104032022057,传播学院,2022级新闻传播学类2班,王瑞,15919274969,李苑,1,2,224,女,有
104052021042,传播学院,21广告学(闽台),宗玲,13612164941,李苑,1,3,301,男,没有
104052021041,传播学院,21广告学(闽台),刘利,13894827575,李苑,1,3,301,男,有
104052021008,传播学院,21广告学(闽台),谢涛,13067269782,李苑,1,3,301,男,没有
104052021069,传播学院,21广告学(闽台),黄玉英,13239995722,李苑,1,3,301,男,有
104062021077,传播学院,21播音与主持艺术,孟玉英,15617670452,李苑,1,3,302,男,有
104062021052,传播学院,21播音与主持艺术,陶冬梅,15698013057,李苑,1,3,302,男,有
104062021061,传播学院,21播音与主持艺术,郭红,15955597346,李苑,1,3,302,男,有
104062021091,传播学院,21播音与主持艺术,李柳,15858496405,李苑,1,3,302,男,有
104062021149,传播学院,2029播音与主持艺术,刘淑兰,18938884384,李苑,1,3,303,男,没有
104062021012,传播学院,2029播音与主持艺术,郭芳,13259704087,李苑,1,3,303,男,没有
104062021121,传播学院,2029播音与主持艺术,邵建华,13807607447,李苑,1,3,303,男,没有
104062021132,传播学院,2029播音与主持艺术,杨海燕,14533598100,李苑,1,3,303,男,有
104002021074,传播学院,2022级新闻传播学类2班,吴玉英,18051912796,李苑,1,3,304,男,有
104002021120,传播学院,2022级新闻传播学类2班,施阳,18676694364,李苑,1,3,304,男,没有
104002021187,传播学院,2022级新闻传播学类2班,李娜,18003896920,李苑,1,3,304,男,有
104002021027,传播学院,2022级新闻传播学类2班,杨晨,13409922800,李苑,1,3,304,男,没有
104012021021,传播学院,2029广播电视编导,冷秀英,14592830400,李苑,1,3,305,男,没有
104012021160,传播学院,2029广播电视编导,陈莉,14706426476,李苑,1,3,305,男,有
104012021158,传播学院,2029广播电视编导,刘红,18193853710,李苑,1,3,305,男,没有
104012021018,传播学院,2029广播电视编导,王桂荣,13614747931,李苑,1,3,305,男,没有
104082021041,传播学院,21播音与主持艺术,胡磊,13324001594,李苑,1,3,306,男,有
104082021046,传播学院,21播音与主持艺术,傅红霞,14527050076,李苑,1,3,306,男,没有
104082021000,传播学院,21播音与主持艺术,林小红,14598725073,李苑,1,3,306,男,没有
104082021165,传播学院,21播音与主持艺术,王秀兰,15034146142,李苑,1,3,306,男,没有
104012021083,传播学院,2029广播电视编导（闽台）,张淑珍,13932030515,李苑,1,3,307,男,没有
104012021107,传播学院,2029广播电视编导（闽台）,粟雪梅,15806693830,李苑,1,3,307,男,有
104012021126,传播学院,2029广播电视编导（闽台）,鞠晶,15260098890,李苑,1,3,307,男,没有
104012021009,传播学院,2029广播电视编导（闽台）,郭欣,18019801249,李苑,1,3,307,男,有
104012021081,传播学院,2029播音与主持艺术,刘瑞,18126789554,李苑,1,3,308,男,没有
104012021041,传播学院,2029播音与主持艺术,范雷,18541654330,李苑,1,3,308,男,没有
104012021061,传播学院,2029播音与主持艺术,蒙秀云,15890003745,李苑,1,3,308,男,没有
104012021168,传播学院,2029播音与主持艺术,沈晶,13389163827,李苑,1,3,308,男,有
104032021053,传播学院,2029广播电视学 ,姚晶,13791999576,李苑,1,3,309,男,没有
104032021080,传播学院,2029广播电视学 ,白平,15253124716,李苑,1,3,309,男,没有
104032021012,传播学院,2029广播电视学 ,侯凤兰,13258061762,李苑,1,3,309,男,有
104032021144,传播学院,2029广播电视学 ,边海燕,13846373694,李苑,1,3,309,男,没有
104052021090,传播学院,21广告学,廖博,15134461838,李苑,1,3,310,男,没有
104052021024,传播学院,21广告学,王萍,13278305223,李苑,1,3,310,男,有
104052021006,传播学院,21广告学,林波,15900137763,李苑,1,3,310,男,没有
104052021120,传播学院,21广告学,刘玉梅,15350032381,李苑,1,3,310,男,没有
104082021159,传播学院,21播音与主持艺术,刘红梅,15071328436,李苑,1,3,311,男,没有
104082021144,传播学院,21播音与主持艺术,萧磊,13565122192,李苑,1,3,311,男,有
104082021003,传播学院,21播音与主持艺术,朱俊,13856075158,李苑,1,3,311,男,有
104082021099,传播学院,21播音与主持艺术,黎浩,15531301622,李苑,1,3,311,男,有
104042021187,传播学院,2022级播音与主持艺术,王欢,18694427658,李苑,1,3,312,男,有
104042021052,传播学院,2022级播音与主持艺术,何淑英,13405816276,李苑,1,3,312,男,有
104042021098,传播学院,2022级播音与主持艺术,金建华,18892569826,李苑,1,3,312,男,没有
104042021039,传播学院,2022级播音与主持艺术,彭雪,13440279238,李苑,1,3,312,男,没有
104072021094,传播学院,2022级播音与主持艺术,王伟,18134683643,李苑,1,3,313,男,有
104072021046,传播学院,2022级播音与主持艺术,朴文,15270971122,李苑,1,3,313,男,没有
104072021093,传播学院,2022级播音与主持艺术,梁峰,13231418964,李苑,1,3,313,男,有
104072021097,传播学院,2022级播音与主持艺术,杨建华,14588639647,李苑,1,3,313,男,有
104102021011,传播学院,2022级播音与主持艺术,高兵,15871972983,李苑,1,3,314,男,没有
104102021072,传播学院,2022级播音与主持艺术,司秀英,13625187306,李苑,1,3,314,男,有
104102021179,传播学院,2022级播音与主持艺术,张瑜,13583098141,李苑,1,3,314,男,没有
104102021105,传播学院,2022级播音与主持艺术,刘建,13206794518,李苑,1,3,314,男,有
104082021102,传播学院,21广告学(闽台),褚杰,14533548867,李苑,1,3,315,男,没有
104082021072,传播学院,21广告学(闽台),刘秀华,15518763718,李苑,1,3,315,男,有
104082021022,传播学院,21广告学(闽台),陈丹,18513279179,李苑,1,3,315,男,没有
104082021023,传播学院,21广告学(闽台),刘丹丹,18956436901,李苑,1,3,315,男,没有
104042021196,传播学院,2022级播音与主持艺术,赵佳,18635252593,李苑,1,3,316,男,没有
104042021043,传播学院,2022级播音与主持艺术,包丽娟,18553406909,李苑,1,3,316,男,有
104042021071,传播学院,2022级播音与主持艺术,周春梅,18730229556,李苑,1,3,316,男,有
104042021161,传播学院,2022级播音与主持艺术,傅丹,13595451909,李苑,1,3,316,男,没有
104072021041,传播学院,21广告学,谭秀英,18107420198,李苑,1,3,317,男,没有
104072021053,传播学院,21广告学,胡军,15257734855,李苑,1,3,317,男,有
104072021125,传播学院,21广告学,潘秀英,15523728846,李苑,1,3,317,男,有
104072021032,传播学院,21广告学,闵欣,15309918866,李苑,1,3,317,男,有
104042021133,传播学院,2029广播电视编导,兰凯,14546688284,李苑,1,3,318,男,有
104042021061,传播学院,2029广播电视编导,云荣,14519351877,李苑,1,3,318,男,没有
104042021125,传播学院,2029广播电视编导,莫军,13970783483,李苑,1,3,318,男,有
104042021179,传播学院,2029广播电视编导,曾龙,13544697581,李苑,1,3,318,男,有
104072021150,传播学院,2029播音与主持艺术,颜桂花,18625919902,李苑,1,3,319,男,没有
104072021163,传播学院,2029播音与主持艺术,刘勇,15947124564,李苑,1,3,319,男,有
104072021139,传播学院,2029播音与主持艺术,邓淑兰,14768500115,李苑,1,3,319,男,有
104072021108,传播学院,2029播音与主持艺术,萧淑珍,18713474823,李苑,1,3,319,男,有
104042021088,传播学院,2029广播电视学 ,刘云,15012306244,李苑,1,3,320,男,没有
104042021120,传播学院,2029广播电视学 ,陆红梅,13697034212,李苑,1,3,320,男,没有
104042021118,传播学院,2029广播电视学 ,牛敏,15845098184,李苑,1,3,320,男,有
104042021123,传播学院,2029广播电视学 ,李鑫,15018116741,李苑,1,3,320,男,有
104042021188,传播学院,2029广告学,余瑞,18591687769,李苑,1,3,321,男,有
104042021152,传播学院,2029广告学,张伟,15815781003,李苑,1,3,321,男,有
104042021050,传播学院,2029广告学,周静,14756558498,李苑,1,3,321,男,有
104042021075,传播学院,2029广告学,江荣,13420299215,李苑,1,3,321,男,没有
104022021184,传播学院,2022级新闻传播学类2班,刘瑜,18970115888,李苑,1,3,322,男,没有
104022021176,传播学院,2022级新闻传播学类2班,叶云,15249637198,李苑,1,3,322,男,没有
104022021129,传播学院,2022级新闻传播学类2班,夏淑珍,15073846066,李苑,1,3,322,男,有
104022021175,传播学院,2022级新闻传播学类2班,陈斌,13746619768,李苑,1,3,322,男,没有
104042021181,传播学院,2029广告学,金淑英,13744414235,李苑,1,3,323,男,没有
104042021004,传播学院,2029广告学,张婷,15253326337,李苑,1,3,323,男,有
104042021174,传播学院,2029广告学,阳超,14756690429,李苑,1,3,323,男,没有
104042021189,传播学院,2029广告学,李娟,18516415020,李苑,1,3,323,男,有
104092021144,传播学院,21广告学(闽台),谢秀华,13013140457,李苑,1,3,324,男,没有
104092021180,传播学院,21广告学(闽台),杨丽丽,15664816396,李苑,1,3,324,男,有
104092021033,传播学院,21广告学(闽台),刘秀荣,15820393213,李苑,1,3,324,男,有
104092021060,传播学院,21广告学(闽台),雷斌,15230869076,李苑,1,3,324,男,有
104022022199,传播学院,2029广播电视学 ,汪秀梅,13436261413,李苑,1,4,401,男,有
104022022180,传播学院,2029广播电视学 ,陈建国,13325813197,李苑,1,4,401,男,没有
104022022169,传播学院,2029广播电视学 ,陈勇,15574586101,李苑,1,4,401,男,没有
104022022123,传播学院,2029广播电视学 ,胡坤,18024129219,李苑,1,4,401,男,有
104002022034,传播学院,21广播电视编导,王玉珍,15779049791,李苑,1,4,402,男,没有
104002022015,传播学院,21广播电视编导,樊璐,18598072673,李苑,1,4,402,男,没有
104002022167,传播学院,21广播电视编导,陈凯,18276068355,李苑,1,4,402,男,没有
104002022187,传播学院,21广播电视编导,陈琳,18812023955,李苑,1,4,402,男,有
104022022052,传播学院,2029广告学,郭丹,13708126325,李苑,1,4,403,男,有
104022022040,传播学院,2029广告学,王阳,18175748324,李苑,1,4,403,男,没有
104022022195,传播学院,2029广告学,王兰英,18853171461,李苑,1,4,403,男,有
104022022013,传播学院,2029广告学,萧佳,13822109422,李苑,1,4,403,男,有
104092022096,传播学院,21广告学(闽台),李莉,15171219056,李苑,1,4,404,男,有
104092022040,传播学院,21广告学(闽台),杨淑珍,13603884066,李苑,1,4,404,男,有
104092022155,传播学院,21广告学(闽台),胡萍,15788280554,李苑,1,4,404,男,有
104092022071,传播学院,21广告学(闽台),葛文,18727856392,李苑,1,4,404,男,没有
104002022107,传播学院,21广告学(闽台),王雷,13954266578,李苑,1,4,405,男,有
104002022123,传播学院,21广告学(闽台),滕娟,13277335895,李苑,1,4,405,男,没有
104002022037,传播学院,21广告学(闽台),张淑英,18267352283,李苑,1,4,405,男,有
104002022183,传播学院,21广告学(闽台),朱欣,15748800240,李苑,1,4,405,男,没有
104092022173,传播学院,2022级播音与主持艺术,何雷,15280735454,李苑,1,4,406,男,有
104092022043,传播学院,2022级播音与主持艺术,秦玉华,15687009131,李苑,1,4,406,男,有
104092022024,传播学院,2022级播音与主持艺术,王桂芝,15087989857,李苑,1,4,406,男,有
104092022178,传播学院,2022级播音与主持艺术,胡娟,15530467247,李苑,1,4,406,男,有
104022022144,传播学院,21广播电视编导,叶璐,13742053745,李苑,1,4,407,男,有
104022022127,传播学院,21广播电视编导,陈欣,13736094536,李苑,1,4,407,男,有
104022022005,传播学院,21广播电视编导,徐凤英,14574621521,李苑,1,4,407,男,有
104022022004,传播学院,21广播电视编导,王桂兰,15196910472,李苑,1,4,407,男,没有
